-1.80764e-05,1,-5.425e-06,
1.55999e-05,5.42528e-06,1,
1,1.84609e-05,-1.59319e-05,
-1.8461e-05,1,-5.54042e-06,
1.59318e-05,5.54072e-06,1,
1,1.88455e-05,-1.62638e-05,
-1.88456e-05,1,-5.65585e-06,
1.62637e-05,5.65616e-06,1,
1,1.92301e-05,-1.65957e-05,
-1.92302e-05,1,-5.77127e-06,
1.65956e-05,5.77159e-06,1,
1,1.96147e-05,-1.69277e-05,
-1.96148e-05,1,-5.8867e-06,
1.69275e-05,5.88703e-06,1,
1,1.99993e-05,-1.72596e-05,
-1.99995e-05,1,-6.00212e-06,
1.72594e-05,6.00247e-06,1,
1,2.0384e-05,-1.75915e-05,
-2.03841e-05,1,-6.11755e-06,
1.75914e-05,6.1179e-06,1,
1,2.07686e-05,-1.79234e-05,
-2.07687e-05,1,-6.23297e-06,
1.79233e-05,6.23334e-06,1,
1,2.11532e-05,-1.82553e-05,
-2.11533e-05,1,-6.3484e-06,
1.82552e-05,6.34878e-06,1,
1,2.15378e-05,-1.85872e-05,
-2.15379e-05,1,-6.46382e-06,
1.85871e-05,6.46422e-06,1,
1,2.19224e-05,-1.89191e-05,
-2.19225e-05,1,-6.57924e-06,
1.8919e-05,6.57966e-06,1,
1,2.2307e-05,-1.92511e-05,
-2.23071e-05,1,-6.69467e-06,
1.92509e-05,6.6951e-06,1,
1,2.26916e-05,-1.9583e-05,
-2.26917e-05,1,-6.81009e-06,
1.95828e-05,6.81054e-06,1,
1,2.30762e-05,-1.99149e-05,
-2.30763e-05,1,-6.92552e-06,
1.99147e-05,6.92598e-06,1,
1,2.34608e-05,-2.02468e-05,
-2.34609e-05,1,-7.04094e-06,
2.02466e-05,7.04142e-06,1,
1,2.38454e-05,-2.05787e-05,
-2.38455e-05,1,-7.15636e-06,
2.05785e-05,7.15686e-06,1,
1,2.423e-05,-2.09106e-05,
-2.42301e-05,1,-7.27179e-06,
2.09105e-05,7.27229e-06,1,
1,2.46146e-05,-2.12425e-05,
-2.46147e-05,1,-7.38721e-06,
2.12424e-05,7.38774e-06,1,
1,2.49992e-05,-2.15745e-05,
-2.49993e-05,1,-7.50264e-06,
2.15743e-05,7.50318e-06,1,
1,2.53838e-05,-2.19064e-05,
-2.53839e-05,1,-7.61806e-06,
2.19062e-05,7.61862e-06,1,
1,2.57684e-05,-2.22383e-05,
-2.57685e-05,1,-7.73348e-06,
2.22381e-05,7.73406e-06,1,
1,2.6153e-05,-2.25702e-05,
-2.61532e-05,1,-7.84891e-06,
2.257e-05,7.8495e-06,1,
1,2.65376e-05,-2.29021e-05,
-2.65378e-05,1,-7.96433e-06,
2.29019e-05,7.96494e-06,1,
1,2.69222e-05,-2.3234e-05,
-2.69224e-05,1,-8.07976e-06,
2.32338e-05,8.08038e-06,1,
1,2.73068e-05,-2.3566e-05,
-2.7307e-05,1,-8.19518e-06,
2.35657e-05,8.19582e-06,1,
1,2.76914e-05,-2.38979e-05,
-2.76916e-05,1,-8.3106e-06,
